season_end,player,age,gp,toi,teams
2013,Kevin Klein,28.0,47.0,15:59:40,NSH
2013,Trevor Lewis,26.0,48.0,12:09:45,LAK
2013,Milan Michálek,28.0,23.0,06:58:24,OTT
2013,Matt Niskanen,26.0,40.0,13:34:18,PIT
2013,Dustin Penner,30.0,33.0,06:59:02,LAK
2013,Chris Phillips,34.0,48.0,16:50:08,OTT
2013,Brandon Prust,28.0,38.0,08:38:07,MTL
2013,Antoine Roussel,23.0,39.0,06:06:35,DAL
2013,Ľubomír Višňovský,36.0,35.0,13:18:11,NYI
2013,James Wisniewski,28.0,30.0,11:24:55,CBJ
2013,Justin Abdelkader,25.0,48.0,11:50:57,DET
2013,Tyson Barrie,21.0,32.0,11:30:37,COL
2013,Matt Beleskey,24.0,42.0,08:24:41,ANA
2013,Nick Bonino,24.0,27.0,07:08:56,ANA
2013,Rene Bourque,31.0,27.0,07:20:55,MTL
2013,Gregory Campbell,29.0,48.0,10:58:14,BOS
2013,Trevor Daley,29.0,44.0,15:42:08,DAL
2013,Jonathan Ericsson,28.0,45.0,15:59:36,DET
2013,Ruslan Fedotenko,34.0,47.0,09:50:58,PHI
2013,Andrew Ference,33.0,48.0,15:35:30,BOS
2013,Matt Frattin,25.0,25.0,05:30:39,TOR
2013,Tom Gilbert,30.0,43.0,13:50:47,MIN
2013,Ron Hainsey,31.0,47.0,17:54:25,WPG
2013,Ryan Kesler,28.0,17.0,05:22:10,VAN
2013,Jakub Kindl,25.0,41.0,12:40:48,DET
2013,Marcus Krüger,22.0,47.0,11:05:47,CHI
2013,Stéphane Robidas,35.0,48.0,17:47:27,DAL
2013,Jaden Schwartz,20.0,45.0,09:21:04,STL
2013,Drew Shore,22.0,43.0,11:19:42,FLA
2013,Ryan Smyth,36.0,47.0,12:02:25,EDM
2013,Nick Spaling,24.0,47.0,12:25:26,NSH
2013,Ryan Whitney,29.0,34.0,10:28:14,EDM
2013,Tommy Wingels,24.0,42.0,09:57:48,SJS
2013,Erik Cole,34.0,47.0,12:50:26,2TM
2013,Erik Cole,34.0,19.0,04:57:28,MTL
2013,Erik Cole,34.0,28.0,07:52:58,DAL
2013,Keith Aucoin,34.0,41.0,08:32:12,NYI
2013,Kevin Bieksa,31.0,36.0,13:09:52,VAN
2013,Eric Brewer,33.0,48.0,16:24:38,TBL
2013,Kyle Brodziak,28.0,48.0,13:53:02,MIN
2013,Erik Condra,26.0,48.0,10:32:22,OTT
2013,Alexei Emelin,26.0,38.0,12:27:20,MTL
2013,Shawn Horcoff,34.0,31.0,08:42:30,EDM
2013,Matt Irwin,25.0,38.0,12:05:50,SJS
2013,Barret Jackman,31.0,46.0,14:48:47,STL
2013,Ryan Johansen,20.0,40.0,10:43:22,CBJ
2013,Andrei Loktionov,22.0,28.0,06:39:08,NJD
2013,Andrew MacDonald,26.0,48.0,18:49:09,NYI
2013,Cody McLeod,28.0,48.0,10:28:15,COL
2013,Chris Neil,33.0,48.0,11:05:25,OTT
2013,Johnny Oduya,31.0,48.0,16:25:00,CHI
2013,Jeff Petry,25.0,48.0,17:31:38,EDM
2013,Michal Rozsíval,34.0,27.0,08:09:01,CHI
2013,Rob Scuderi,34.0,48.0,17:25:59,LAK
2013,Andrej Sekera,26.0,37.0,13:04:42,BUF
2013,Jack Skille,25.0,40.0,08:52:57,FLA
2013,Craig Smith,23.0,44.0,10:09:42,NSH
2013,Blake Comeau,26.0,42.0,08:30:41,2TM
2013,Blake Comeau,26.0,33.0,06:45:32,CGY
2013,Blake Comeau,26.0,9.0,01:45:09,CBJ
